[t	0.04533836	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
sI	0.00000000	0.01061165	0.00087860	0.00923649	0.00824419	0.00680472	0.00584210	0.00684895	0.00465542	0.00565771	0.00608798	0.00368053	0.00293470	0.00166389	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
nd	0.00000000	0.00000000	0.00790739	0.01428646	0.00547711	0.00811332	0.00788284	0.00652790	0.00457910	0.00388967	0.00274941	0.00110416	0.00000000	0.00166389	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
H]	0.00000000	0.00000000	0.00000000	0.00034015	0.00402225	0.00284621	0.00664239	0.01038044	0.02068229	0.03264969	0.04124116	0.04674273	0.05282465	0.06655574	0.06666667	0.07407407	0.02439024	0.00000000	0.00000000	0.00000000
tr	0.00000000	0.01179933	0.00480645	0.00651525	0.00867209	0.00526712	0.00484174	0.00251485	0.00206060	0.00035361	0.00058916	0.00073611	0.00073368	0.00166389	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
SH	0.00000000	0.00000000	0.00010336	0.00164844	0.00154044	0.00477639	0.00876315	0.01498208	0.02129283	0.02522395	0.02611940	0.02760397	0.02934703	0.02662230	0.03529412	0.00925926	0.00000000	0.00000000	0.00000000	0.00000000
l]	0.00000000	0.00000000	0.00062019	0.00745722	0.00445015	0.00713187	0.01188428	0.01316282	0.00946348	0.00954738	0.00824823	0.00956938	0.00660308	0.01164725	0.00392157	0.03703704	0.00000000	0.00000000	0.00000000	0.00000000
It	0.00000000	0.00054220	0.00682206	0.00402951	0.01166738	0.00811332	0.00812292	0.00636738	0.00312905	0.00282885	0.00216025	0.00110416	0.00146735	0.00166389	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
@t	0.00000000	0.00113604	0.00209313	0.00274740	0.00647554	0.00569241	0.00936337	0.01123656	0.01251622	0.01355493	0.01139042	0.01288185	0.01614087	0.01830283	0.01568627	0.02777778	0.00000000	0.15384615	0.00000000	0.00000000
[h	0.03831556	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
ns	0.00000000	0.00000000	0.00653781	0.01023078	0.00390814	0.00503811	0.00636229	0.00620686	0.00671602	0.00754361	0.00608798	0.00662495	0.00733676	0.00000000	0.00000000	0.00925926	0.00000000	0.00000000	0.00000000	0.00000000
En	0.00000000	0.00209135	0.01178355	0.00408185	0.00701754	0.00572513	0.00404145	0.00460164	0.00381592	0.00306459	0.00333857	0.00036805	0.00073368	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
@s	0.00000000	0.00273683	0.00219650	0.00214559	0.00733134	0.00585599	0.00772278	0.00952432	0.01022667	0.01013673	0.00451689	0.00772911	0.00220103	0.00998336	0.00392157	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
l@	0.00000000	0.00051638	0.00087860	0.00879167	0.00413636	0.00677201	0.00780281	0.00925678	0.00831871	0.00601132	0.00648075	0.00772911	0.00807043	0.00499168	0.01568627	0.00000000	0.02439024	0.00000000	0.00000000	0.00000000
Il	0.00000000	0.00345976	0.01165435	0.00248574	0.00627585	0.00582327	0.00420151	0.00246134	0.00152637	0.00271099	0.00294580	0.00331248	0.00146735	0.00332779	0.00000000	0.00925926	0.00000000	0.00000000	0.00000000	0.00000000
m@	0.00000000	0.00356304	0.00093028	0.00743105	0.00601911	0.00657572	0.00684246	0.00733052	0.00557124	0.00388967	0.00157109	0.00110416	0.00073368	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
{n	0.00000000	0.00423433	0.01201612	0.00586111	0.00379404	0.00389309	0.00356128	0.00214030	0.00175532	0.00141443	0.00137471	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
pr	0.00000000	0.02099094	0.00286837	0.00447433	0.00251034	0.00170118	0.00080029	0.00032104	0.00061055	0.00011787	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
[l	0.03258372	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
N]	0.00000000	0.00000000	0.00000000	0.00136062	0.00128370	0.00991265	0.01080389	0.00898925	0.01160040	0.01390853	0.01178319	0.00920132	0.00146735	0.01164725	0.01176471	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
@b	0.00000000	0.00384705	0.00211897	0.00164844	0.00510626	0.00428567	0.00612220	0.00834716	0.01114249	0.00754361	0.00824823	0.00220832	0.00146735	0.00831947	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
m]	0.00000000	0.00000000	0.00028425	0.00470982	0.00330909	0.00412209	0.00800288	0.00818663	0.00816607	0.01084394	0.01276512	0.01877070	0.01980924	0.03161398	0.04705882	0.04629630	0.09756098	0.23076923	0.20000000	0.25000000
mI	0.00000000	0.00913997	0.00118869	0.00756188	0.00407930	0.00425295	0.00328118	0.00224731	0.00183164	0.00200377	0.00078555	0.00036805	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
